代码,名称,市盈率,市净率,股息率,历史ROE,近三年ROE,近五年ROE,市值
sh600061,国投资本,22.32,1.41,0.49,5.99,10.31,7.73,534.73
sh600809,山西汾酒,32.59,7.5,0.98,17.26,15.83,19.12,532.59
sz000963,华东医药,21.15,4.92,1.97,22.28,28.68,23.36,531.94
sh601788,光大证券,75.67,1.07,1.77,15.35,9.2,4.59,521.48
sh601298,青岛港,0,0,0,14.88,14.88,14.88,520.59
sh600570,DR恒生电,52.67,14.44,0.45,18.69,15.89,12.71,519.23
sh600886,国投电力,11.73,1.34,2.18,13.67,17.25,12.51,519.13
sh601877,正泰电器,14.7,2.33,3.74,29.56,19.7,17.71,517.37
sz002841,视源股份,48.47,13.67,0.76,52.4,49.45,46.83,516.15
sh600362,江西铜业,21.04,1.01,1.36,11.33,3.57,3.37,510.06
sh600377,宁沪高速,11.59,1.83,4.35,10.17,14.65,16.61,509.32
sz001965,招商公路,12.53,1.07,2.66,10.29,8.23,9.38,508.47
sz002311,海大集团,34.79,6.42,0.78,19.36,17.2,18.8,507.6
sz002958,青农商行,0,0,0,0,0,0,507.22
sh600795,国电电力,31.88,0.93,3.11,15.19,8,5.27,505.02
sh600871,石化油服,165.74,8.12,0,-20.39,-85.01,-143.37,497.39
sh600705,中航资本,15.57,1.7,1.72,62.23,13.63,12,491.9
sz000100,TCL集团,13.6,1.54,2.83,7.72,11.72,10,478.3
sh601828,美凯龙,10.32,1.1,2.39,15.67,10.64,10.22,475.7
sz002202,金风科技,14.79,1.9,1.78,31.04,15.41,15.31,474.05
sh603833,欧派家居,29.7,6.17,0.89,31.42,28.9,29.31,472.3
sz300003,乐普医疗,30.73,6.72,0.49,28.27,15.77,16.33,460.38
sz002157,正邦科技,-159.85,7.5,0.26,10.81,11.76,13.41,455.87
sz300033,同花顺,68.95,14.32,1.06,33.21,31.5,31.51,454.38
sh601808,中海油服,60.27,1.32,0.63,9.6,-1.67,-9.23,453.78
sz002044,美年健康,56.34,7,0.35,11.27,10.98,10.49,451.07
sz002600,领益智造,-92.87,4.3,0,7.34,5.08,7.47,450.47
sh600271,航天信息,21.97,3.83,1.75,21.65,17.93,16.52,445.89
sz000768,中航飞机,78.09,2.74,0.53,3.69,3.05,3.08,445.47
